id,username,created_at,lng,lat,text
1524399739046875137,Melknee,Wed May 11 14:43:14 +0000 2022,-86.791549,36.200008,Right now over 500 people are watching The Deep End on @p00ls_ Instagram Live with Evan Mock! 🌸Learn about the wo… https://t.co/omeOFiNWyU
1524399740011569153,DCarn_Training,Wed May 11 14:43:14 +0000 2022,-83.804475,27.698681999999998,Earning a college scholarship is purely about how bad you want it. Do you make sacrifices for your goals and dreams… https://t.co/BRzM9J9VwO
1524399741622263810,un4gvn85,Wed May 11 14:43:15 +0000 2022,-95.44648649999999,29.838495,@trippielo2717 @_cdotb My Lord. A great way to start the morning. Now I'm gonna go wipe the drool from my mouth.
1524399742482059264,daveconte1971,Wed May 11 14:43:15 +0000 2022,-73.8494415,40.8503475,"@CarletteHarris1 @marie_guarde @kristenbaker17 @PhilosopherCrip Last time I checked, condoms count as birth control"
1524399744239480833,markpotterD2UP,Wed May 11 14:43:15 +0000 2022,-98.319925,38.498196,Perfectly said Jeremy!!!
1524399744302428160,JamesSabata,Wed May 11 14:43:15 +0000 2022,-105.526476,40.362097,Woke up and I realized I have to get started on SPIRITED GIVING 2023. ;)  LOL#
1524399747091603456,lil_Josh2,Wed May 11 14:43:16 +0000 2022,-81.705467,41.495939500000006,@ThatEricAlper I look both ways when the light turns green and im driving 😅
1524399747741663232,WinkWestwood,Wed May 11 14:43:16 +0000 2022,-95.365444,29.745637,Like dude you needed clout to do something generous but because you didn’t get what you wanted you instead bash the… https://t.co/JsgABQTcGU
1524399748207239169,willrue,Wed May 11 14:43:16 +0000 2022,-72.9876965,40.822332,@petestrzok Same energy. https://t.co/AZwfdiamyl
1524399748861550593,jennigregory,Wed May 11 14:43:16 +0000 2022,-81.3775,28.5421,"Just posted a photo @ Orlando, Florida https://t.co/AqDJuVAfyw"
1524399748933128192,LunaMarie4u,Wed May 11 14:43:16 +0000 2022,-117.930841,34.0389395,"Yes, unlimited."
1524399748676993024,a_kuzee,Wed May 11 14:43:16 +0000 2022,-93.2620465,44.9706105,Big news out of Saint Mary’s University. They’re dropping 11 majors due to low enrollment. That’s more than 25% of… https://t.co/MiXsUlqMOs
1524399749364953091,pjz1228,Wed May 11 14:43:16 +0000 2022,-93.018145,45.067479000000006,@craftigurumi Can the pattern be purchased?
1524399750321262592,Bunson8r,Wed May 11 14:43:17 +0000 2022,-87.732013,41.8335845,"@postingtwink Sometimes onions, but tomatoes are the devil's food"
1524399750207787008,gojirama,Wed May 11 14:43:17 +0000 2022,-122.334461,47.307568,Early learning is NOT a field that can effectively be done remotely (and we tried for a full year!) Yet the most b… https://t.co/RHIVQrNN9Y
1524399750459633667,Cherryteee,Wed May 11 14:43:17 +0000 2022,-77.49317049999999,37.529883,Monet &amp; Bob are going back on tour. I really need more friends who love Drag Race. 😩
1524399750610661376,a_kuzee,Wed May 11 14:43:17 +0000 2022,-93.2620465,44.9706105,"That also means they’re laying off 13 full time faculty. @smumn says they’re focusing on “science, technology and business” programs."
1524399750417629189,ClubFeathers,Wed May 11 14:43:17 +0000 2022,-74.03604153,40.91066882,"$3 WELL DRINKS ALL NIGHT!  HUMP DAY WEDNESDAY DJ STEVE SIDEWALK ON THE MAIN FLOOR, KARAOKE WITH DJ ROB ON THE LOWE… https://t.co/eJJpIV3ZDa"
1524399751713763337,RashardXTaylor,Wed May 11 14:43:17 +0000 2022,-96.7617535,32.819858499999995,"Mom back in the hospital, Flight jumping up I don’t know what the hell umma do 🤦🏾‍♂️"
1524399751986298880,MelissaJoiner15,Wed May 11 14:43:17 +0000 2022,-77.60468399999999,41.1179365,@truthcures2 @kidgolferman Well a lot of Cubans are conservative as they have lived through socialism so they don’t… https://t.co/xb7MBmAcXI
1524399753047465986,JackalynnJane,Wed May 11 14:43:17 +0000 2022,-75.04459750000001,42.455728500000006,Yesterday was the first day for my assistant. She did okay. I wouldn't have one if it wasn't for the doctor and cov… https://t.co/84mIBbV5N2
1524399753198542853,thedopebohemian,Wed May 11 14:43:17 +0000 2022,-80.8467855,35.209058999999996,@CindyEArevalo Not even.
1524399753194311680,grammy2,Wed May 11 14:43:17 +0000 2022,-75.218432,40.685818999999995,@AustinDavisPA @JoshShapiroPA My husband &amp; I are pleased to tell you that we have already submitted our mail-in ballot with votes for you.😊
1524399753219522560,small2g1,Wed May 11 14:43:17 +0000 2022,-83.98685900000001,33.6639435,@NellieBleezer Happy Birthday!!
1524399754498568192,GHernandez916,Wed May 11 14:43:18 +0000 2022,-121.469664,38.561722,I hope Wesley Mathews hits!! 😩 Last night was rough https://t.co/W2JRlFfCAG
1524399755144671232,lamberis,Wed May 11 14:43:18 +0000 2022,-77.05881803,38.82622831,"I'm at St. Elmo's Coffee Pub in Alexandria, VA https://t.co/bW1zmljlBu"
1524399755367002112,jmgoshert,Wed May 11 14:43:18 +0000 2022,-86.611411,34.7060265,@Nextgenmedia3 Appreciate it https://t.co/fwq9bTK1D1
1524399756633587712,LoewyLawFirm,Wed May 11 14:43:18 +0000 2022,-97.754724,30.323345500000002,GOOD. End this insanity.
1524399759179534336,themkwayyy,Wed May 11 14:43:19 +0000 2022,-87.732013,41.8335845,Why tf did that happen last night?😭
1524399759691325441,jacktwheatley,Wed May 11 14:43:19 +0000 2022,-84.4816265,42.746719999999996,"And also thanks to @BillBarnwellLaw, Bill used to stoke the flames with Jason Lee Van Dyke on his blog, The Potatoe… https://t.co/hODiYhomMc"
1524399762086273024,SOTAwatch,Wed May 11 14:43:19 +0000 2022,-70.905,44.6319,"14:42 KC1MXB (Jonathan) on W1/AM-326 (Surplus Mtn., 896m, 2 pts) 14.0615 CW [KC1MXB]"
1524399762866417664,z33EDUARDO,Wed May 11 14:43:20 +0000 2022,-87.50296750000001,41.552024,LMAO STOCK X GETTING SUED FOR SELLING FAKES I THOUGHT YALL COULD TELL
1524399762388275201,RamelThomas10,Wed May 11 14:43:19 +0000 2022,-79.85736349999999,36.090396999999996,Good old downtown Greensboro https://t.co/uc9K6XUjz7
1524399763793321984,katiesscarlettt,Wed May 11 14:43:20 +0000 2022,-75.117998,40.0048655,@Lord_Richafa I know what ever will I do with my life ☹️☹️☹️☹️ EARTH SHATTERING
1524399763948507142,mttgza,Wed May 11 14:43:20 +0000 2022,-122.4359785,37.7706565,@humantransit @elonmusk But he’s right about “induced demand”
