id,username,created_at,lng,lat,text
1521300808825860097,LuckeyBono,Tue May 03 01:29:11 +0000 2022,-118.4119065,34.0207895,@Deedotwill Apparently I should sue him like they do artists for sampling their music. ✌🏾✌🏾👑✅
1521300808972787712,DamsErika,Tue May 03 01:29:11 +0000 2022,-73.8311875,40.6708795,Thanks RBG. Pretty neat that you didn’t push-ups and wouldn’t get bullied by Obama into retiring. https://t.co/S2Twdwhd2W
1521300809044176903,THUNDERBIRDZZ7,Tue May 03 01:29:11 +0000 2022,-80.21864249999999,40.454187000000005,ATTN: WOMEN FOLK!!!Republicans are taking away your rights!THE SCOTUS IS A REPUBLICAN FACIST ENITY!Filled wit… https://t.co/d8oXGk6Lik
1521300811384561664,arkangyle,Tue May 03 01:29:12 +0000 2022,-83.804475,27.698681999999998,"@ErinBode Boston University … Webpages didna exist, but you could use FTP and TELNET, amongst other protocols.I m… https://t.co/2HtcWutAM7"
1521300812147929090,lacey9020,Tue May 03 01:29:12 +0000 2022,-82.81656100000001,27.8383605,@KyivIndependent Good.
1521300811619479554,mslaurenweaver,Tue May 03 01:29:12 +0000 2022,-79.861034,35.1704985,Teacher Appreciation Week is always spectacular when it starts off with a milkshake from our favorite ice cream tru… https://t.co/XL3XXdVpI8
1521300812730970113,ShakMoneyFX,Tue May 03 01:29:12 +0000 2022,-83.804475,27.698681999999998,@bstephanie__ Definitely. Soon as i can tho im leaving this terrible city 😂
1521300812902899712,sandracburnside,Tue May 03 01:29:12 +0000 2022,-89.87644900000001,32.571032,He's that guy!Stonkka c/o24🐝🖤💛
1521300813200637952,SAMIAM_PG2,Tue May 03 01:29:12 +0000 2022,-84.0841835,37.1004695,Herro is really like that though
1521300813536190473,MichelleNicols4,Tue May 03 01:29:13 +0000 2022,-83.37718100000001,42.4842785,@suga_mommylegit @PatrickTheGiver @CashApp @MNicols $mnicols 🤞🏼🤞🏼🙏🏼❤️
1521300814463217665,andiwallen,Tue May 03 01:29:13 +0000 2022,-79.2725695,43.629311,*ff with their h*ads.
1521300814798770177,Greattooth28,Tue May 03 01:29:13 +0000 2022,-95.44648649999999,29.838495,Tyler Fucking Herro 🔥🔥🔥
1521300815415234563,RogueChieftan,Tue May 03 01:29:13 +0000 2022,-87.732013,41.8335845,@quillkdc Oh wow and thank you!! I’m definitely excited for this future gathering!!
1521300815322959873,RealKizzyCox,Tue May 03 01:29:13 +0000 2022,-73.9487755,40.655138,Other film directors like @TOMFORD chose to highlight American fashion w/some of its most well-known designers like… https://t.co/9cUMTwPSbc
1521300816921075712,Chris1Franklin1,Tue May 03 01:29:13 +0000 2022,-92.342322,34.721886,@CoachNickVaughn @CoachHowardUTM @UTM_FOOTBALL @ParkviewLr thanks coach
1521300817025798144,itsbluemymind,Tue May 03 01:29:13 +0000 2022,-121.969121,47.6247995,I find so much amusement reading everyone make fun of the #MetGala fits as if any of us could even afford a piece o… https://t.co/qva6Dh6g8f
1521300817805991936,ipo40,Tue May 03 01:29:14 +0000 2022,-104.92209349999999,39.713563,I will have nightmares about offensive rebounds tonight.
1521300818376466434,SarahTollok,Tue May 03 01:29:14 +0000 2022,-79.42086499999999,38.003375500000004,Day 2 of my “write every day in May” commitment that I made to myself. Jotted 3 pages of notes in my journal. I’ll… https://t.co/HfG9Mg5G4X
